epoch,steps,accuracy_cosine,accuracy_manhattan,accuracy_euclidean
-1,-1,0.7800568643379366,0.775182778229082,0.7804630381803412
-1,-1,0.7713241267262388,0.7755889520714866,0.7761982128350934
-1,-1,0.7841814837522992,0.7923564275495606,0.791334559574903
-1,-1,0.783363989372573,0.78295524218271,0.7858164725117515
0,50,0.7808692120227457,0.7841186027619821,0.7851340373679935
0,100,0.7861494719740049,0.784727863525589,0.7855402112103981
0,150,0.7928513403736799,0.7871649065800163,0.7887896019496344
0,200,0.7956945572705117,0.7900081234768481,0.7904142973192526
0,250,0.7979285134037368,0.7932575142160845,0.7904142973192526
0,300,0.7989439480097482,0.795085296506905,0.7918359057676686
0,350,0.7993501218521527,0.7948822095857027,0.7948822095857027
0,400,0.8001624695369618,0.7977254264825345,0.7936636880584891
0,450,0.8019902518277823,0.7981316003249391,0.7983346872461413
0,500,0.80178716490658,0.799553208773355,0.7969130787977254
0,550,0.8030056864337937,0.8007717303005687,0.7997562956945573
0,600,0.803208773354996,0.8023964256701869,0.7997562956945573
0,650,0.8034118602761983,0.8019902518277823,0.8013809910641755
0,700,0.8046303818034118,0.8015840779853778,0.8038180341186028
0,750,0.8064581640942323,0.8025995125913891,0.8030056864337937
0,800,0.8074735987002437,0.8030056864337937,0.803208773354996
0,850,0.807676685621446,0.804021121039805,0.803208773354996
0,884,0.8088952071486596,0.8054427294882209,0.8048334687246141
1,50,0.8080828594638505,0.8044272948822095,0.8066612510154346
1,100,0.8072705117790414,0.804021121039805,0.804021121039805
1,150,0.8090982940698619,0.8058489033306255,0.80625507717303
1,200,0.809910641754671,0.8064581640942323,0.8052396425670186
1,250,0.809910641754671,0.8093013809910642,0.807676685621446
1,300,0.8107229894394801,0.8097075548334687,0.8086921202274574
1,350,0.8109260763606824,0.8093013809910642,0.8080828594638505
1,400,0.8101137286758733,0.8086921202274574,0.807676685621446
1,450,0.811332250203087,0.8097075548334687,0.80625507717303
1,500,0.8097075548334687,0.8093013809910642,0.8068643379366369
1,550,0.8109260763606824,0.8105199025182778,0.8084890333062551
1,600,0.811332250203087,0.809910641754671,0.8084890333062551
1,650,0.8107229894394801,0.8109260763606824,0.8074735987002437
1,700,0.809910641754671,0.8107229894394801,0.8072705117790414
1,750,0.8105199025182778,0.8115353371242892,0.8070674248578391
1,800,0.8103168155970756,0.8119415109666938,0.807676685621446
1,850,0.8105199025182778,0.8105199025182778,0.807676685621446
1,884,0.8109260763606824,0.8111291632818847,0.8082859463850528
2,50,0.8117384240454915,0.8103168155970756,0.8093013809910642
2,100,0.8117384240454915,0.8103168155970756,0.8101137286758733
2,150,0.8123476848090982,0.8097075548334687,0.8109260763606824
2,200,0.8123476848090982,0.8107229894394801,0.8115353371242892
2,250,0.8125507717303005,0.8107229894394801,0.8111291632818847
2,300,0.8129569455727051,0.8105199025182778,0.8119415109666938
2,350,0.8129569455727051,0.809910641754671,0.8115353371242892
2,400,0.8129569455727051,0.8101137286758733,0.8117384240454915
2,450,0.8129569455727051,0.8105199025182778,0.8117384240454915
2,500,0.8125507717303005,0.8109260763606824,0.8115353371242892
2,550,0.8131600324939074,0.8109260763606824,0.8119415109666938
2,600,0.8125507717303005,0.8109260763606824,0.8119415109666938
2,650,0.8127538586515028,0.8111291632818847,0.8119415109666938
2,700,0.8127538586515028,0.8111291632818847,0.8119415109666938
2,750,0.8127538586515028,0.8111291632818847,0.8119415109666938
2,800,0.8129569455727051,0.8111291632818847,0.8119415109666938
2,850,0.8129569455727051,0.8111291632818847,0.8119415109666938
2,884,0.8129569455727051,0.8111291632818847,0.8119415109666938
-1,-1,0.8328223993460045,0.8344573881054568,0.8350705088902514
